subject,course_number,course_title,first_seen_term,last_seen_term
CHT,A110,PC A+ Certificate Prep,Intersession/Spring 2023,Fall 2025
CHT,A162,Fundmntls Information Security,Fall 2023,Fall 2024
CHT,A191,Network/Comm Technologies,Intersession/Spring 2023,Winter/Spring 2025
CHT,A286,VMwareVspher/Instal/Config/Mgm,Fall 2023,Fall 2024
CIS,A090,Beg Comptr Kyboarding 1,Intersession/Spring 2023,Fall 2026
CIS,A092,Beg Computer Keyboarding 2,Intersession/Spring 2023,Fall 2026
CIS,A100,Intro Computer Applications,Intersession/Spring 2023,Fall 2026
CIS,A100H,Intro Computer App Honors,Fall 2024,Fall 2026
CIS,A111,Intro Computer Info Sys,Intersession/Spring 2023,Fall 2026
CIS,A111H,Intro Computer Info Sys Honors,Fall 2024,Fall 2026
CIS,A123,Web Page Design 1,Intersession/Spring 2023,Fall 2025
CIS,A129,Web Page Design 2,Intersession/Spring 2023,Fall 2024
CIS,A134,Excel 1,Intersession/Spring 2023,Fall 2026
CIS,A134H,Excel 1 Honor,Fall 2024,Fall 2026
CIS,A137,Microsoft Outlook,Intersession/Spring 2023,Fall 2024
CIS,A149,Office Procedures,Intersession/Spring 2023,Fall 2024
CIS,A171,Introduction to Javascript,Intersession/Spring 2023,Fall 2025
CIS,A223,JavaScript 2,Intersession/Spring 2023,Fall 2024
CIS,A234,Excel 2,Intersession/Spring 2023,Fall 2026
CIS,A234H,Excel 2 Honors,Fall 2024,Fall 2026
CMST,A100,Interpersonal Communication,Intersession/Spring 2023,Summer 2026
CMST,A105,Intrapersonal Communication,Intersession/Spring 2024,Fall 2026
CMST,A109,Social Media Strategies,Intersession/Spring 2023,Fall 2026
CMST,A110,Public Speaking,Intersession/Spring 2023,Summer 2025
CMST,A120,Readers Theatre Oral Interp,Intersession/Spring 2023,Fall 2026
CMST,A150,Forensics Workshop,Intersession/Spring 2023,Fall 2026
CMST,A155,Intercultural Communication,Intersession/Spring 2023,Fall 2026
CMST,A165,Gender Communication,Intersession/Spring 2023,Fall 2026
CMST,A170,Nonverbal Communication,Intersession/Spring 2023,Fall 2025
CMST,A180,Intro to Mass Communications,Intersession/Spring 2023,Fall 2026
CMST,A185,Public Relations,Intersession/Spring 2023,Fall 2026
CMST,A220,Essentials of Argumentation,Intersession/Spring 2023,Fall 2026
CMST,A236,Direct Practice Soc Med Strat,Intersession/Spring 2023,Fall 2026
CMST,A240,Media Literacy,Intersession/Spring 2023,Fall 2026
CMST,A260,Organizational Communication,Intersession/Spring 2023,Fall 2024
CMST,A291,Directed Study,Fall 2025,Fall 2025
CNST,A001N,Principles of Construction NC,Summer 2025,Fall 2026
CNST,A010N,Concrete Construction NC,Winter/Spring 2026,Winter/Spring 2026
CNST,A012N,Stair Framing Noncredit,Summer 2025,Winter/Spring 2026
CNST,A040N,Specialty Trades Noncredit,Fall 2025,Fall 2026
CNST,A041N,Finish Carpentry Noncredit,Fall 2025,Fall 2025
CNST,A054N,Drywall & Taping Noncredit,Summer 2025,Summer 2026
CNST,A060N,Masonry Construction Noncredit,Fall 2025,Fall 2026
CNST,A100,Principles of Construction,Intersession/Spring 2023,Fall 2026
CNST,A108,Solar Panels for Small Project,Intersession/Spring 2023,Winter/Spring 2025
CNST,A112,Stair Framing,Summer 2023,Winter/Spring 2026
CNST,A114,Cabinet Making,Intersession/Spring 2023,Fall 2026
CNST,A116,Furniture Making/Design,Intersession/Spring 2023,Fall 2026
CNST,A154,Drywall & Taping,Intersession/Spring 2023,Summer 2026
CNST,A155,Intro to Home Automation,Intersession/Spring 2023,Winter/Spring 2026
CNST,A156,National Electrical Code,Summer 2023,Summer 2026
CNST,A157,Photovoltaic Syst Installation,Fall 2023,Fall 2026
CNST,A165,Constr Safety-CAL/OSHA,Intersession/Spring 2023,Fall 2026
CNST,A170,Intro to Construction,Fall 2023,Fall 2024
CNST,A180,Building Construction 1,Fall 2023,Fall 2026
CNST,A185,Building Construction 2,Intersession/Spring 2023,Fall 2026
CNST,A189,Blueprint Reading,Intersession/Spring 2023,Winter/Spring 2026
CNST,A190,Blueprnt Readng & Draft,Intersession/Spring 2023,Fall 2026
CNST,A194,Intro to to Building Codes,Winter/Spring 2026,Summer 2026
CNST,A195,Residential Code,Intersession/Spring 2023,Fall 2026
CNST,A196,Green Building Codes,Winter/Spring 2025,Winter/Spring 2025
CNST,A197,California Energy Code,Intersession/Spring 2023,Winter/Spring 2026
CNST,A199,Current Topics Const,Summer 2023,Summer 2025
CNST,A210,Concrete Construction,Intersession/Spring 2023,Winter/Spring 2026
CNST,A220,Construction Estimating,Intersession/Spring 2023,Fall 2026
CNST,A230,Construction Inspection,Intersession/Spring 2023,Intersession/Spring 2024
CNST,A240,Specialty Trades,Intersession/Spring 2023,Fall 2026
CNST,A241,Finish Carpentry,Intersession/Spring 2023,Fall 2025
CNST,A250,Const Supv & Proj Mgmt,Intersession/Spring 2023,Winter/Spring 2026
CNST,A252,Bus Law For Contractors,Intersession/Spring 2023,Intersession/Spring 2024
CNST,A260,Masonry Construction,Fall 2023,Fall 2026
CNST,A265,Plumbing 1,Fall 2023,Fall 2026
CNST,A266,Plumbing 2,Intersession/Spring 2023,Winter/Spring 2026
CNST,A270,Contrator's License Law,Fall 2023,Fall 2026
CNST,A275,Residential Elec Wiring,Intersession/Spring 2023,Fall 2026
CNST,A285,Light Steel Frame Const,Intersession/Spring 2023,Winter/Spring 2026
COMM,A100,Interpersonal Communication,Fall 2026,Fall 2026
COMM,A110,Introduction Public Speaking,Fall 2025,Fall 2026
COS,A001N,Intro to Customer Service,Intersession/Spring 2023,Fall 2026
COS,A002N,Customer Serv & Retail Emply,Intersession/Spring 2023,Fall 2026
COS,A180,Life Management,Intersession/Spring 2023,Fall 2026
COUN,A035N,Effective Parenting,Winter/Spring 2025,Winter/Spring 2025
COUN,A100,Introduction to College,Intersession/Spring 2023,Fall 2026
COUN,A101,New Horizons:Adults Retrng Clg,Intersession/Spring 2023,Fall 2025
COUN,A104,Career/Life Planng:Holistic,Intersession/Spring 2023,Fall 2026
COUN,A105,Strategies for College Success,Intersession/Spring 2023,Fall 2026
COUN,A107,Chicana/o Latina/o Exp Hgr Ed,Intersession/Spring 2023,Fall 2026
COUN,A107H,Chican@ Latin@ ExpHgrEd Honors,Intersession/Spring 2023,Fall 2026
COUN,A109,Devlop/Undrstnd Hapines,Intersession/Spring 2023,Fall 2024
COUN,A110,Applied Stress Management,Intersession/Spring 2023,Fall 2023
COUN,A120,Career Decisn Making/Accleratd,Intersession/Spring 2023,Fall 2026
COUN,A125,Job Search Strategies/Agility,Intersession/Spring 2023,Fall 2026
COUN,A135,Effective Parenting,Intersession/Spring 2023,Winter/Spring 2025
COUN,A170,College Major Search,Intersession/Spring 2023,Fall 2026
COUN,A199,Topics in Counseling,Intersession/Spring 2023,Intersession/Spring 2024
COUN,A205,Transfer Success Seminar,Intersession/Spring 2023,Winter/Spring 2026
CS,A131,Python Programming 1,Intersession/Spring 2023,Fall 2026
CS,A150,C++ Programming 1,Intersession/Spring 2023,Fall 2026
CS,A170,Java Programming 1,Intersession/Spring 2023,Fall 2026
CS,A200,Data Structures,Intersession/Spring 2023,Fall 2026
CS,A216,Computer Architecture,Intersession/Spring 2023,Fall 2026
CS,A220,Software Engineering,Intersession/Spring 2023,Fall 2026
CS,A231,Python Programming II,Intersession/Spring 2023,Winter/Spring 2026
CS,A242,Computer Org/Assembly Language,Winter/Spring 2026,Winter/Spring 2026
CS,A250,C++ Programming 2,Intersession/Spring 2023,Fall 2026
CS,A253,Principles in System Design Corequisite: CS A253L,Fall 2026,Fall 2026
CS,A253L,Principles in System Dsgn Lab Corequisite: CS A253,Fall 2026,Fall 2026
CS,A255,Cybersecurity Foundations,Summer 2026,Summer 2026
CS,A257,Boolean Algebra and Logic,Intersession/Spring 2023,Winter/Spring 2026
CS,A262,Discrete Structures,Intersession/Spring 2023,Fall 2026
CS,A263,Probability & Stats for CS,Intersession/Spring 2024,Winter/Spring 2026
CS,A272,Java Programming 2,Fall 2023,Winter/Spring 2026
CVT,A100,Introduction to ECG,Fall 2023,Fall 2026
CVT,A130,Intro Invasive Cardiolo,Intersession/Spring 2023,Winter/Spring 2026
CVT,A150,Adv Electrocardiography,Fall 2023,Fall 2026
CVT,A160,Cardiac Anat/Pathophys,Fall 2023,Fall 2026
CVT,A170,ECG Clinical Experience,Intersession/Spring 2023,Winter/Spring 2026
CVT,A190,Intro to Sonography/Imaging,Intersession/Spring 2023,Winter/Spring 2026
CVT,A200,Intro Echocardiography,Fall 2023,Fall 2026
CVT,A205,Intro Echocardiog Lab,Fall 2023,Fall 2026
CVT,A210,Echo Clinical Lab 1,Fall 2023,Fall 2026
CVT,A220,Ultrasound Sonograph Phys/Inst,Fall 2023,Fall 2026
CVT,A224,Echocardiography Clinical Lab2,Intersession/Spring 2024,Winter/Spring 2026
CVT,A250,Adv Echocardiography,Intersession/Spring 2023,Winter/Spring 2026
CVT,A255,Adv Echocardiography Lb,Intersession/Spring 2023,Winter/Spring 2026
CVT,A260,Cerebro/Periphrl Ultrasound,Intersession/Spring 2023,Winter/Spring 2026
CVT,A265,Echo Clinical Lab 3,Intersession/Spring 2023,Winter/Spring 2026
DA,A100,Dental Anatomy,Fall 2023,Fall 2026
DA,A101,Patient Care for Dental Assist,Fall 2023,Fall 2026
DA,A110,Chairside Techniques 1,Fall 2023,Fall 2026
DA,A115,Chairside Techniques 2,Intersession/Spring 2023,Winter/Spring 2026
DA,A120,Dental Materials,Fall 2023,Fall 2026
DA,A125,Expanded Functions,Intersession/Spring 2023,Winter/Spring 2026
DA,A130,Prevnt & Comm Dentistry,Fall 2023,Fall 2026
DA,A140,Dental Radiography 1,Fall 2023,Fall 2026
DA,A145,Specialized Practices,Intersession/Spring 2023,Winter/Spring 2026
DA,A150,Biomedical Sciences,Intersession/Spring 2023,Winter/Spring 2026
DA,A160,Clinical Experience 1,Fall 2023,Fall 2026
DA,A163,Clinical Experience 2,Intersession/Spring 2023,Winter/Spring 2026
DA,A165,Clinical Experience 3,Intersession/Spring 2023,Winter/Spring 2026
DA,A168,Clinical Experience 4,Intersession/Spring 2023,Winter/Spring 2026
DA,A175,Prin of Bus & Prac Mgmt,Intersession/Spring 2023,Winter/Spring 2026
DANC,A101,Modern Dance 1,Intersession/Spring 2023,Fall 2026
DANC,A102,Modern Dance 2,Intersession/Spring 2023,Fall 2026
DANC,A106,Strength and Stretch,Intersession/Spring 2023,Fall 2026
DANC,A107,Conditioning for Dance,Fall 2023,Fall 2025
DANC,A108,Pilates Mat Work,Intersession/Spring 2023,Fall 2026
DANC,A110,Ballet 1,Intersession/Spring 2023,Fall 2026
DANC,A111,Ballet 2,Intersession/Spring 2023,Fall 2026
DANC,A113,Pointe Work,Fall 2026,Fall 2026
DANC,A115,Yoga for Dancers,Intersession/Spring 2023,Fall 2026
DANC,A116,Latin Dance Styles I,Intersession/Spring 2023,Fall 2025
DANC,A118,Movement for Longevity,Intersession/Spring 2023,Fall 2026
DANC,A119,Kinesiology for Dance,Fall 2023,Fall 2026
DANC,A120,Jazz Dance 1,Intersession/Spring 2023,Fall 2026
DANC,A121,Jazz Dance 2,Intersession/Spring 2023,Winter/Spring 2026
DANC,A125,Tap 1,Intersession/Spring 2023,Winter/Spring 2025
DANC,A126,Tap 2,Intersession/Spring 2023,Winter/Spring 2025
DANC,A129,Pilates Methodology 1,Fall 2023,Fall 2026
DANC,A130,Mid-Eastern Dance 1,Intersession/Spring 2023,Winter/Spring 2026
DANC,A135,Flamenco Dance 1,Intersession/Spring 2023,Fall 2023
DANC,A138,African Dance and Drumming I,Intersession/Spring 2023,Fall 2026
DANC,A139,Gyrokinesis,Summer 2024,Summer 2026
DANC,A143,Jazz Dance III,Intersession/Spring 2023,Winter/Spring 2026
DANC,A144,Ballet III,Intersession/Spring 2023,Fall 2026
DANC,A145,Modern Dance III,Intersession/Spring 2023,Winter/Spring 2026
DANC,A146,Tap III,Intersession/Spring 2023,Fall 2026
DANC,A147,Flamenco Dance 2,Intersession/Spring 2023,Fall 2023
DANC,A148,Mid-Eastern Dance 2,Intersession/Spring 2023,Winter/Spring 2026
DANC,A149,Hip-Hop Dance I,Intersession/Spring 2023,Fall 2026
DANC,A150,Dance Improvisation I,Intersession/Spring 2023,Winter/Spring 2026
DANC,A151,Pilates as a Profession,Intersession/Spring 2023,Fall 2026
DANC,A152,Pilates Apparatus 1,Intersession/Spring 2023,Fall 2026
DANC,A153,Pilates Apparatus 2,Intersession/Spring 2023,Fall 2026
DANC,A154,Contemp Commercial Dance,Intersession/Spring 2023,Fall 2026
DANC,A155,Latin Dance Styles II,Intersession/Spring 2023,Fall 2025
DANC,A156,Polynesian Dance,Intersession/Spring 2023,Winter/Spring 2026
DANC,A157,Polynesian Dance 2,Intersession/Spring 2023,Winter/Spring 2026
DANC,A158,African Dance and Drumming II,Intersession/Spring 2023,Fall 2026
DANC,A159,Hip-Hop Dance II,Intersession/Spring 2023,Fall 2026
DANC,A160,Dance Comp/Choreography I,Fall 2023,Fall 2026
DANC,A162,Dance Composition/Choreog II,Fall 2023,Fall 2026
DANC,A165,Latin Dance Styles III,Intersession/Spring 2023,Fall 2025
DANC,A168,African Dance and Drumming III,Intersession/Spring 2023,Fall 2026
DANC,A169,Hip-Hop Dance III,Intersession/Spring 2023,Fall 2026
DANC,A170,Music for Dancers,Intersession/Spring 2023,Fall 2026
DANC,A171,Modern Dance Basics,Intersession/Spring 2023,Fall 2026
DANC,A172,Ballet Dance Basics,Intersession/Spring 2023,Fall 2026
DANC,A173,Jazz Dance Basics,Intersession/Spring 2023,Fall 2026
DANC,A174,Tap Dance Basics,Intersession/Spring 2023,Winter/Spring 2025
DANC,A175,Mexican FolklÃ³rico Dance 1,Fall 2024,Fall 2026
DANC,A176,Mexican FolklÃ³rico Dance 2,Winter/Spring 2025,Fall 2026
DANC,A180,Dance Wellness & Injury Prev,Intersession/Spring 2023,Winter/Spring 2026
DANC,A191,Classical Technique/Variation,Intersession/Spring 2023,Fall 2026
DANC,A199,Current Topics in Dance,Winter/Spring 2025,Fall 2026
DANC,A200,Appreciation of Dance,Intersession/Spring 2023,Fall 2026
DANC,A201,Rehearsal & Performance I,Intersession/Spring 2023,Winter/Spring 2025
DANC,A202,Rehearsal and Performance II,Intersession/Spring 2023,Winter/Spring 2025
DANC,A203,Performing Dance Ensemble I,Intersession/Spring 2023,Fall 2026
DANC,A204,Rehearsal and Performance III,Intersession/Spring 2023,Winter/Spring 2025
DANC,A205,Danc Profession Seminar,Fall 2024,Fall 2024
DANC,A206,Movement and the Camera,Intersession/Spring 2023,Winter/Spring 2026
DANC,A207,Rehearsal and Performance IV,Intersession/Spring 2023,Winter/Spring 2025
DANC,A208,Pilates 3-4,Intersession/Spring 2023,Summer 2026
DANC,A209,Pilates Mat Work 2,Fall 2023,Fall 2026
DANC,A210,Dance Methodology,Fall 2023,Fall 2026
DANC,A211,Repertoire I,Intersession/Spring 2023,Winter/Spring 2026
DANC,A212,Repertoire II,Intersession/Spring 2023,Winter/Spring 2026
DANC,A213,Repertoire III,Intersession/Spring 2023,Winter/Spring 2026
DANC,A214,Repertoire IV,Intersession/Spring 2023,Winter/Spring 2026
DANC,A215,Pilates Research Practicum,Intersession/Spring 2023,Fall 2026
DANC,A217,Pilates Teaching Practicum,Intersession/Spring 2023,Fall 2026
DANC,A218,World Dance Internship I,Intersession/Spring 2023,Fall 2026
DANC,A219,World Dance Internship II,Intersession/Spring 2023,Fall 2026
DANC,A220,Dance Internship I,Intersession/Spring 2023,Fall 2026
DANC,A221,Dance Internship II,Intersession/Spring 2023,Fall 2026
DANC,A223,Performing Dance Ensemble II,Intersession/Spring 2023,Fall 2026
DANC,A225,Yoga for Dancers 2,Fall 2023,Fall 2026
DANC,A229,Pilates Methodology 2,Intersession/Spring 2024,Fall 2026
DANC,A230,World Dance and Culture,Fall 2023,Fall 2026
DANC,A233,Performing Dance Ensemble III,Intersession/Spring 2023,Fall 2026
DANC,A243,Jazz IV,Intersession/Spring 2023,Winter/Spring 2026
DANC,A244,Ballet IV,Intersession/Spring 2023,Fall 2026
DANC,A245,Modern IV,Intersession/Spring 2023,Winter/Spring 2026
DANC,A246,Tap IV,Intersession/Spring 2023,Fall 2026
DANC,A247,Flamenco Dance 3,Intersession/Spring 2023,Fall 2023
DANC,A248,Mid-Eastern Dance 3,Intersession/Spring 2023,Winter/Spring 2026
DANC,A250,Dance Improvisation II,Intersession/Spring 2023,Winter/Spring 2026
DANC,A253,Prep for Audition - Jazz,Intersession/Spring 2023,Winter/Spring 2025
DANC,A254,Prep for Audition - Ballet,Intersession/Spring 2023,Winter/Spring 2025
DANC,A255,Prep for Audition - Modern,Intersession/Spring 2023,Winter/Spring 2025
DANC,A256,Preparation for Audition - Tap,Intersession/Spring 2023,Fall 2026
DANC,A257,Contemp Commercial Dance 2,Intersession/Spring 2023,Fall 2026
DANC,A262,Dance Comp/Choreography III,Fall 2023,Fall 2026
DANC,A263,Performing Dance Ensemble IV,Intersession/Spring 2023,Fall 2026
DANC,A264,Mid-Eastern Dance 4,Intersession/Spring 2023,Winter/Spring 2026
DANC,A267,Flamenco Dance 4,Intersession/Spring 2023,Fall 2023
DANC,A269,Hip Hop 4,Intersession/Spring 2023,Fall 2026
DMAD,A115,Typography,Intersession/Spring 2023,Fall 2026
DMAD,A116,Typography & Branding,Intersession/Spring 2023,Fall 2026
DMAD,A117,Rapid Illustration Tech,Intersession/Spring 2023,Fall 2026
DMAD,A151,History of Graphic Dsgn,Intersession/Spring 2023,Fall 2026
DMAD,A181,Intro to Computer Graphics,Intersession/Spring 2023,Fall 2026
DMAD,A182,Graphic Design,Intersession/Spring 2023,Fall 2026
DMAD,A183,InDesign for Design,Intersession/Spring 2023,Fall 2026
DMAD,A190,Illustrator for Design,Intersession/Spring 2023,Fall 2026
DMAD,A193,Photoshop for Design,Intersession/Spring 2023,Fall 2026
DMAD,A200,Designing for Screens,Intersession/Spring 2023,Fall 2026
DMAD,A202,Design Industry Preparation,Intersession/Spring 2023,Winter/Spring 2026
DMAD,A203,UX/UI Design,Intersession/Spring 2023,Fall 2026
DMAD,A212,Advanced Studio Internship,Intersession/Spring 2023,Fall 2024
DMAD,A263,Motion Graphics w/AfterEffects,Intersession/Spring 2023,Fall 2026
DMAD,A280,2D Animation,Intersession/Spring 2023,Fall 2026
DMAD,A281,3D Computer Graphics Animation,Intersession/Spring 2023,Fall 2026
DMAD,A288,Digital Portfolio Development,Intersession/Spring 2023,Fall 2026
DMS,A110,Introduction to Sonography,Intersession/Spring 2023,Fall 2026
DMS,A123,Sectional Anatomy/Med Imaging,Fall 2023,Fall 2026
DMS,A126,OB/GYN Sonography,Intersession/Spring 2023,Winter/Spring 2026
DMS,A150,Sono Physics Instrument/DMS,Fall 2023,Fall 2026
DMS,A155,Intro Vascular Ultrasnd,Intersession/Spring 2023,Winter/Spring 2026
DMS,A161,Pathophysiology,Intersession/Spring 2023,Winter/Spring 2026
DMS,A165,Intro Scanning Practice,Intersession/Spring 2023,Winter/Spring 2026
DMS,A166,DMS Clinical Expernce 1,Intersession/Spring 2023,Winter/Spring 2026
DMS,A167,Clinical Experience 2,Summer 2023,Summer 2026
DMS,A255,Adv Vascular Ultrasound,Fall 2023,Fall 2026
DMS,A271,Clinical Experience 3,Fall 2023,Fall 2026
DMS,A274,Abdominal Sonography,Fall 2023,Fall 2026
DMS,A275,Sonographic Review,Intersession/Spring 2023,Winter/Spring 2026
DMS,A276,Clinical Experience 4,Intersession/Spring 2023,Winter/Spring 2026
DMS,A281,Clinical Experience 5,Intersession/Spring 2023,Winter/Spring 2026
DVP,A180,Intro To Display & VP,Fall 2023,Fall 2023
ECON,A100,Econ: General Concepts,Intersession/Spring 2023,Fall 2026
ECON,A110,Economics of Consumer Finance,Intersession/Spring 2023,Fall 2026
ECON,A170,Principles of Microeconomics,Intersession/Spring 2023,Fall 2026
ECON,A170H,Honors Microeconomics,Fall 2023,Fall 2026
ECON,A175,Principles of Macroeconomics,Intersession/Spring 2023,Fall 2026
ECON,A175H,Macroeconomics Honors,Intersession/Spring 2023,Winter/Spring 2026
ELEC,A100,Electronic Problem Solving,Intersession/Spring 2023,Fall 2026
ELEC,A102,"Safety, Maint, Calibration",Intersession/Spring 2024,Winter/Spring 2025
ELEC,A111,D.C. Circuits,Intersession/Spring 2023,Fall 2026
ELEC,A112,A.C. Circuits,Intersession/Spring 2023,Winter/Spring 2026
ELEC,A121,Robotics 1 Mech/Design,Fall 2023,Fall 2026
ELEC,A122,Robotics 2,Intersession/Spring 2023,Winter/Spring 2026
ELEC,A131,Automatn 1- Industrial Control,Fall 2023,Fall 2026
ELEC,A135,Symbolic Logic/Digital Apps,Fall 2025,Fall 2025
ELEC,A172,Electronics Laboratory 2,Summer 2025,Summer 2025
ELEC,A223,Embedded Control Systems,Intersession/Spring 2024,Winter/Spring 2026
ELEC,A224,Digital Communication Systems,Summer 2024,Fall 2025
ELEC,A232,Automation 2 Progrm Logic Ctrl,Intersession/Spring 2023,Winter/Spring 2026
ELEC,A290,Electronic Trblshooting,Summer 2024,Summer 2026
ELL,A006N,Basic Literacy,Fall 2024,Fall 2026
ELL,A016N,ELL Beginning A,Intersession/Spring 2023,Fall 2026
ELL,A017N,Beg Grammar Review 1,Fall 2024,Fall 2026
ELL,A020N,ELL for US Citizenship,Intersession/Spring 2023,Fall 2026
ELL,A021N,ELL for US Citizenship 2,Intersession/Spring 2023,Winter/Spring 2025
ELL,A025N,Beginning Pronunciation,Intersession/Spring 2023,Fall 2026
ELL,A026N,ELL Beginning B,Intersession/Spring 2023,Fall 2026
ELL,A027N,Beginning Grammar Review 2,Intersession/Spring 2023,Fall 2026
ELL,A028N,Speaking About U.S. Culture 1,Fall 2026,Fall 2026
ELL,A030N,ELL for Parents: Elem School,Fall 2023,Fall 2025
ELL,A034N,Intro US Healthcare for ELL,Intersession/Spring 2023,Fall 2026
ELL,A035N,Intermediate Pronunciation,Intersession/Spring 2023,Fall 2026
ELL,A036N,ELL Intermediate A,Intersession/Spring 2023,Fall 2026
ELL,A037N,Intermediate Grammar Review,Intersession/Spring 2023,Summer 2026
ELL,A043N,ELL for the Workplace,Intersession/Spring 2023,Fall 2026
ELL,A044N,Int Eng Skills for Career Adv,Intersession/Spring 2024,Intersession/Spring 2024
ELL,A045N,Intermediate Grammar Review 2,Fall 2026,Fall 2026
ELL,A046N,ELL Intermediate B,Intersession/Spring 2023,Fall 2026
ELL,A047N,Advanced Grammar Review 1,Fall 2023,Fall 2026
ELL,A048N,Speaking About U.S. Culture 2,Intersession/Spring 2023,Fall 2026
ELL,A049N,Speaking About U.S. Culture 3,Fall 2026,Fall 2026
ELL,A055N,Advanced Pronunciation,Intersession/Spring 2023,Fall 2026
ELL,A056N,ELL Advanced,Intersession/Spring 2023,Fall 2026
ELL,A057N,Advanced Grammar Review 2,Intersession/Spring 2023,Winter/Spring 2026
ELL,A058N,Adv Listen & Speak Trans Acad,Intersession/Spring 2023,Summer 2026
ELL,A059N,Adv Read & Write Tran Acad,Intersession/Spring 2023,Summer 2026
ELL,A061N,ELL Support for Prep ALH,Intersession/Spring 2024,Winter/Spring 2026
ELL,A064N,Adv Academic Reading &Writing,Intersession/Spring 2023,Fall 2026
EMS,A100,Emergency Medical Responder,Intersession/Spring 2023,Fall 2026
EMS,A150,Emergency Medical Technician,Intersession/Spring 2023,Fall 2026
EMS,A150L,Emergency Medical Tech Lab,Intersession/Spring 2023,Fall 2026
EMS,A151,EMT Clinical,Intersession/Spring 2023,Fall 2026
EMS,A160,EMT-1 Recertification,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A001N,Grammar Within Reach - NC,Intersession/Spring 2023,Summer 2024
ENGL,A002N,Reading for Success - NC Corequisite: ENGL A004N,Intersession/Spring 2023,Summer 2026
ENGL,A003N,Perfecting Paragraphs - NC,Intersession/Spring 2023,Intersession/Spring 2024
ENGL,A004N,Building A College Essay -NC Corequisite: ENGL A002N,Intersession/Spring 2023,Summer 2026
ENGL,A006N,Support Skills for English Com,Intersession/Spring 2023,Fall 2024
ENGL,A011,Intro to Literary Magazine Prd,Winter/Spring 2025,Winter/Spring 2026
ENGL,A099,Confidence in Writing,Intersession/Spring 2023,Fall 2023
ENGL,A100,Academic Reading and Writing,Intersession/Spring 2023,Fall 2026
ENGL,A101,Critical Thinking/Writing: Lit,Intersession/Spring 2023,Fall 2026
ENGL,A101H,Crit. Thinking/Writing: Lit(H),Intersession/Spring 2023,Fall 2026
ENGL,A102,Critical Thinking and Writing,Intersession/Spring 2023,Fall 2026
ENGL,A102H,Critical Thinking Writing-Hon,Intersession/Spring 2023,Fall 2026
ENGL,A109,Crit Reasoning/Science/Tech,Intersession/Spring 2023,Fall 2026
ENGL,A117,Narrative Journalism,Intersession/Spring 2023,Fall 2024
ENGL,A119,Intro to Creative Writing,Intersession/Spring 2023,Fall 2026
ENGL,A121,Short Story Writing I,Fall 2023,Fall 2026
ENGL,A122,Novel Writing I,Intersession/Spring 2023,Fall 2026
ENGL,A123,Writing for Social Media,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A126,Poetry Writing I,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A127,Scriptwriting I,Intersession/Spring 2023,Fall 2026
ENGL,A140,Introduction to Literature,Fall 2026,Fall 2026
ENGL,A140H,Intro to Literature Honors,Fall 2026,Fall 2026
ENGL,A141,The Bible As Literature,Intersession/Spring 2024,Fall 2025
ENGL,A141H,Bible As Lit Honors,Intersession/Spring 2024,Fall 2025
ENGL,A143,Children's Literature,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A143H,Children's Literature Honors,Intersession/Spring 2024,Winter/Spring 2025
ENGL,A147,Intro To Science Fictn,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A147H,Intro Science Fiction Honors,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A148,Film As Literature,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A148H,Film As Lit Honors,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A150,American Lit Before 20th Cent,Fall 2023,Fall 2026
ENGL,A150H,Am Lit Before 20th Century Hon,Fall 2023,Fall 2026
ENGL,A151,American Lit in 20th Century,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A151H,Am Lit After 1900 Honors,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A152,Race and Culture in Lit,Fall 2023,Fall 2026
ENGL,A152H,Race and Culture in Lit Honors,Fall 2023,Fall 2026
ENGL,A156,California Literature,Intersession/Spring 2024,Intersession/Spring 2024
ENGL,A156H,California Lit Honors,Intersession/Spring 2024,Intersession/Spring 2024
ENGL,A160,World Lit Through Renaissance,Fall 2023,Winter/Spring 2026
ENGL,A160H,World Lit. through Renais. Hon,Fall 2023,Winter/Spring 2026
ENGL,A161,World Lit from Renaissance,Intersession/Spring 2023,Fall 2026
ENGL,A161H,World Lit. from Renais. Hon,Intersession/Spring 2023,Fall 2026
ENGL,A168,Popular Fiction,Fall 2025,Fall 2025
ENGL,A170,Contemporary Literature,Winter/Spring 2025,Winter/Spring 2025
ENGL,A170H,Contemporary Literature Honors,Winter/Spring 2025,Winter/Spring 2025
ENGL,A173,Women Writers,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A173H,Women Writers Honors,Intersession/Spring 2023,Winter/Spring 2026
ENGL,A176,World Mythology,Intersession/Spring 2024,Fall 2026
ENGL,A176H,World Mythology Honors,Intersession/Spring 2024,Intersession/Spring 2024
ENGL,A179,Gender/Sexuality in Lit&Film,Fall 2023,Fall 2026
ENGL,A179H,Gendr/Sexuality Lit&Film Honor,Fall 2023,Fall 2026
