subject,course_number,course_title,first_seen_term,last_seen_term
APT,A146,Advanced Aircraft & Engines,Fall 2023,Fall 2026
APT,A151,Unmanned Aircraft Systems Lab,Intersession/Spring 2023,Fall 2026
APT,A160,Introduction to UAS Automation,Fall 2026,Fall 2026
APT,A173,Aircraft Recog and Perform,Fall 2026,Fall 2026
APT,A180,Basic Air Transportatn,Intersession/Spring 2023,Winter/Spring 2026
APT,A192,Human Fctrs/Crew Resource Mgmt,Fall 2023,Fall 2026
APT,A199,Current Topics Aviation/Aerosp,Fall 2026,Fall 2026
ARCH,A001N,Design/Build 1 for Arch NC,Intersession/Spring 2023,Fall 2026
ARCH,A004N,Intro FrameCAD Steel Framng NC,Intersession/Spring 2023,Fall 2026
ARCH,A006N,Accesory Dwelling Unit Desn NC,Intersession/Spring 2023,Fall 2026
ARCH,A007N,Tiny House Design Noncredit,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A008N,Solar Panels Small Projects NC,Intersession/Spring 2023,Fall 2026
ARCH,A021N,FrameCAD Studio 1 NC,Intersession/Spring 2023,Fall 2026
ARCH,A022N,FrameCAD Studio 2 NC,Intersession/Spring 2023,Fall 2026
ARCH,A041N,FrameCAD Workshop 1 NC,Intersession/Spring 2023,Fall 2026
ARCH,A042N,FrameCAD Workshop 2 NC,Winter/Spring 2025,Fall 2026
ARCH,A043N,FrameCAD Workshop 3 NC,Fall 2025,Fall 2026
ARCH,A101,Intro Environ Sustainability,Intersession/Spring 2023,Fall 2026
ARCH,A102,Intro to Environmental Studies,Intersession/Spring 2023,Fall 2024
ARCH,A104,Intro FrameCAD Steel Framing,Intersession/Spring 2023,Fall 2026
ARCH,A105,Drawing/Design Visualization 1,Intersession/Spring 2023,Fall 2026
ARCH,A106,Accessory Dwelling Unit Design,Intersession/Spring 2023,Fall 2026
ARCH,A107,Tiny House Design,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A108,Solar Panels for Small Project,Intersession/Spring 2023,Fall 2026
ARCH,A110,Intro To Architecture,Intersession/Spring 2023,Fall 2026
ARCH,A110H,Intro to Architecture Honors,Intersession/Spring 2024,Winter/Spring 2026
ARCH,A115,Architectural Design/Theory 1,Intersession/Spring 2023,Fall 2026
ARCH,A121,FrameCAD Studio 1,Intersession/Spring 2023,Fall 2026
ARCH,A122,FrameCAD Studio 2,Intersession/Spring 2023,Fall 2026
ARCH,A141,Intro Resource Management,Intersession/Spring 2023,Intersession/Spring 2023
ARCH,A150,CAD 2-D for Architecture,Intersession/Spring 2023,Fall 2026
ARCH,A155,BIM 1 for Architecture,Intersession/Spring 2023,Fall 2026
ARCH,A156,BIM 2 for Architecture,Intersession/Spring 2023,Fall 2026
ARCH,A157,BIM Multidisciplinary,Intersession/Spring 2023,Winter/Spring 2025
ARCH,A158,BIM Project Integration,Summer 2023,Summer 2025
ARCH,A160,3-D Modeling:SketchUp 1,Intersession/Spring 2023,Fall 2026
ARCH,A162,3-D Modeling: Rhino 1,Intersession/Spring 2023,Fall 2026
ARCH,A163,3-D Modeling:Rhino 2,Intersession/Spring 2023,Summer 2026
ARCH,A165,Presentation Graphics,Intersession/Spring 2023,Winter/Spring 2026
ARCH,A170,Intro to Design Fabrication,Summer 2024,Summer 2026
ARCH,A171,Design Fabrication 1,Intersession/Spring 2023,Fall 2026
ARCH,A172,Design Fabrication 2,Intersession/Spring 2023,Fall 2026
ARCH,A180,Architecturl Constructn Docs,Intersession/Spring 2023,Fall 2026
ARCH,A185,Environmental Design Systems,Fall 2023,Fall 2026
ARCH,A196,Green Building Codes,Winter/Spring 2025,Winter/Spring 2025
ARCH,A197,California Energy Code,Winter/Spring 2025,Winter/Spring 2026
ARCH,A199,Current Topics Arch,Intersession/Spring 2024,Summer 2026
ARCH,A201,Design/Build 1 for Architectur,Intersession/Spring 2023,Fall 2026
ARCH,A202,Design/Build 2 Architecture,Intersession/Spring 2023,Fall 2026
ARCH,A203,Design/Build 3 Architecture,Fall 2025,Fall 2026
ARCH,A205,Arch Dwg/Desgn Visual 2,Intersession/Spring 2023,Fall 2026
ARCH,A215,Architectural Design/Theory 2,Intersession/Spring 2023,Fall 2026
